seq,gameday,team,shoot,foul,possession,weater,temp,rank,salary,goal
12,29-Jan-11. 18:00,일본,3,14,55,4,20,17,4180995,1
51,29-Jan-11. 18:00,오스트레일리아,8,22,45,4,20,20,4910670,1
35,28-Jan-11. 18:00,우즈베키스탄,5,15,57,1,22,73,187874,2
24,28-Jan-11. 18:00,한국,4,10,43,1,22,31,2308955,3
34,25-Jan-11. 19:25,우즈베키스탄,3,9,67,4,21,73,187874,0
53,25-Jan-11. 19:25,오스트레일리아,14,13,33,4,21,20,4910670,6
23,25-Jan-11. 16:25,한국,7,24,43,4,17,31,2308955,2
9,25-Jan-11. 16:25,일본,8,35,57,4,17,17,4180995,3
50,22-Jan-11. 16:25,오스트레일리아,10,28,55,1,20,20,4910670,1
58,22-Jan-11. 16:25,이란,2,27,50,1,20,42,1556555,0
22,22-Jan-11. 16:25,한국,3,29,50,1,20,31,2308955,1
31,22-Jan-11. 16:25,이라크,3,17,45,1,20,91,6118,0
44,21-Jan-11. 19:25,요르단,5,13,35,1,17,81,4410,1
33,21-Jan-11. 19:25,우즈베키스탄,5,11,65,1,17,73,187874,2
8,21-Jan-11. 16:25,일본,6,17,59,1,17,17,4180995,3
3,21-Jan-11. 16:25,카타르,7,18,41,1,17,92,11295,2
60,19-Jan-11. 19:15,이란,3,18,50,3,18,42,1556555,3
62,19-Jan-11. 19:15,아랍에미리트,3,18,50,3,18,113,7380,0
27,19-Jan-11. 19:15,북한,4,15,52,3,18,124,233211,0
29,19-Jan-11. 19:15,이라크,5,18,48,3,18,91,6118,1
18,18-Jan-11. 16:15,인도,4,17,35,3,19,160,1817,1
20,18-Jan-11. 16:15,한국,20,9,65,3,19,31,2308955,4
56,18-Jan-11. 16:15,바레인,4,10,54,1,19,101,125236,0
49,18-Jan-11. 16:15,오스트레일리아,5,18,46,1,19,20,4910670,1
14,17-Jan-11. 16:15,사우디아라비아,3,7,48,4,20,98,577598,0
11,17-Jan-11. 16:15,일본,9,23,52,4,20,17,4180995,5
47,17-Jan-11. 16:15,시리아,7,19,62,4,20,106,138091,1
42,17-Jan-11. 16:15,요르단,1,17,38,4,20,81,4410,2
39,16-Jan-11. 19:15,중국,7,17,35,4,24,70,143168,2
37,16-Jan-11. 19:15,우즈베키스탄,7,20,65,4,24,73,187874,2
1,16-Jan-11. 19:15,카타르,6,23,43,4,24,92,11295,3
6,16-Jan-11. 19:15,쿠웨이트,1,16,57,4,24,96,10350,0
30,15-Jan-11. 19:15,이라크,4,24,56,1,23,91,6118,1
61,15-Jan-11. 19:15,아랍에미리트,4,7,44,1,23,113,7380,0
26,15-Jan-11. 16:15,북한,4,22,51,1,23,124,233211,0
57,15-Jan-11. 16:15,이란,2,26,49,1,23,42,1556555,1
54,14-Jan-11. 19:15,바레인,9,15,62,4,15,101,125236,5
17,14-Jan-11. 19:15,인도,6,11,38,4,15,160,1817,2
48,14-Jan-11. 16:15,오스트레일리아,4,14,45,4,15,20,4910670,1
21,14-Jan-11. 16:15,한국,7,16,55,4,15,31,2308955,1
10,13-Jan-11. 19:15,일본,5,19,59,4,19,17,4180995,2
45,13-Jan-11. 19:15,시리아,4,20,41,4,19,106,138091,1
41,13-Jan-11. 16:15,요르단,3,17,47,4,19,81,4410,1
15,13-Jan-11. 16:15,사우디아라비아,4,19,53,4,19,98,577598,0
2,12-Jan-11. 19:15,카타르,4,16,51,1,21,92,11295,2
38,12-Jan-11. 19:15,중국,5,15,49,1,21,70,143168,0
5,12-Jan-11. 16:15,쿠웨이트,3,14,48,1,21,96,10350,1
32,12-Jan-11. 16:15,우즈베키스탄,2,27,52,1,21,73,187874,2
59,11-Jan-11. 19:15,이란,6,19,61,4,21,42,1556555,2
28,11-Jan-11. 19:15,이라크,3,25,39,4,21,91,6118,1
25,11-Jan-11. 16:15,북한,0,21,52,4,18,124,233211,0
63,11-Jan-11. 16:15,아랍에미리트,5,11,48,4,18,113,7380,0
19,10-Jan-11. 19:15,한국,5,17,62,1,24,31,2308955,2
55,10-Jan-11. 19:15,바레인,6,19,38,1,24,101,125236,1
16,10-Jan-11. 16:15,인도,2,10,35,4,21,160,1817,0
52,10-Jan-11. 16:15,오스트레일리아,9,12,65,4,21,20,4910670,4
46,09-Jan-11. 19:15,시리아,3,17,45,1,24,106,138091,2
13,09-Jan-11. 19:15,사우디아라비아,3,13,55,1,24,98,577598,1
43,09-Jan-11. 16:15,요르단,2,14,32,2,17,81,4410,1
7,09-Jan-11. 16:15,일본,7,13,68,2,17,17,4180995,1
40,08-Jan-11. 16:15,중국,6,23,49,1,23,70,143168,2
4,08-Jan-11. 16:15,쿠웨이트,2,17,51,1,23,96,10350,0
36,07-Jan-11. 19:15,우즈베키스탄,7,13,55,4,20,73,187874,2
64,07-Jan-11. 19:15,카타르,4,15,45,4,20,92,11295,0
1,31-Jan-15. 20:00,한국,3,19,47,4,24,51,2306476,1
33,31-Jan-15. 20:00,오스트레일리아,4,26,53,4,24,100,1534325,2
34,30-Jan-15. 20:00,아랍에미리트,4,13,63,1,24,65,138181,3
2,30-Jan-15. 20:00,이라크,7,20,37,1,24,89,9586,2
35,27-Jan-15. 20:00,아랍에미리트,2,9,47,3,19,65,138181,2
3,27-Jan-15. 20:00,오스트레일리아,3,15,53,3,19,100,1534325,0
36,26-Jan-15. 20:00,이라크,2,19,47,3,20,89,9586,0
4,26-Jan-15. 20:00,한국,7,7,53,3,20,51,2306476,2
37,23-Jan-15. 20:30,아랍에미리트,2,15,32,1,27,65,138181,2
5,23-Jan-15. 20:30,일본,8,17,68,1,27,53,7021535,1
6,23-Jan-15. 17:30,이란,4,9,36,1,31,45,936990,3
38,23-Jan-15. 17:30,이라크,7,23,64,1,31,89,9586,4
39,22-Jan-15. 20:30,오스트레일리아,9,8,66,3,25,100,1534325,2
7,22-Jan-15. 20:30,중국,5,12,34,3,25,84,8151,0
40,22-Jan-15. 18:30,우즈베키스탄,4,22,39,4,34,74,979110,0
8,22-Jan-15. 18:30,한국,7,6,61,4,34,51,2306476,2
42,20-Jan-15. 20:00,팔레스타인,1,9,36,1,24,134,1825,0
41,20-Jan-15. 20:00,요르단,1,14,34,1,29,87,3802,0
9,20-Jan-15. 20:00,일본,9,21,66,1,29,53,7021535,2
10,20-Jan-15. 20:00,이라크,8,15,64,1,24,89,9586,2
43,19-Jan-15. 20:00,바레인,6,19,41,1,22,124,7089,2
11,19-Jan-15. 20:00,카타르,5,11,59,1,22,86,137367,1
44,19-Jan-15. 19:00,아랍에미리트,0,12,68,3,28,65,138181,0
12,19-Jan-15. 19:00,이란,4,19,32,3,28,45,936990,1
14,18-Jan-15. 20:00,중국,4,9,64,1,25,84,8151,2
46,18-Jan-15. 20:00,북한,4,9,36,1,25,105,4343,1
45,18-Jan-15. 20:00,사우디아라비아,2,7,64,1,16,80,12002,1
13,18-Jan-15. 20:00,우즈베키스탄,5,29,36,1,16,74,979110,3
47,17-Jan-15. 20:00,쿠웨이트,1,8,59,1,27,139,5148,0
15,17-Jan-15. 20:00,오만,3,16,41,1,27,104,165857,1
48,17-Jan-15. 19:00,한국,3,13,33,1,29,51,2306476,1
16,17-Jan-15. 19:00,오스트레일리아,6,19,67,1,29,100,1534325,0
49,16-Jan-15. 19:00,일본,5,23,61,1,30,53,7021535,1
17,16-Jan-15. 19:00,이라크,2,10,39,1,30,89,9586,0
50,16-Jan-15. 18:00,요르단,6,11,48,4,27,87,3802,5
18,16-Jan-15. 18:00,팔레스타인,4,11,52,4,27,134,1825,1
51,15-Jan-15. 20:00,이란,7,11,40,1,25,45,936990,1
19,15-Jan-15. 20:00,카타르,1,15,60,1,25,86,137367,0
20,15-Jan-15. 18:00,바레인,4,19,39,4,26,124,7089,1
52,15-Jan-15. 18:00,아랍에미리트,3,14,61,4,26,65,138181,2
21,14-Jan-15. 19:00,중국,3,8,50,3,26,84,8151,2
53,14-Jan-15. 19:00,우즈베키스탄,3,16,50,3,26,74,979110,1
22,14-Jan-15. 18:00,북한,5,19,38,1,20,105,4343,1
54,14-Jan-15. 18:00,사우디아라비아,7,8,62,1,20,80,12002,4
55,13-Jan-15. 20:00,오스트레일리아,9,16,70,1,26,100,1534325,4
23,13-Jan-15. 20:00,오만,2,9,30,1,26,104,165857,0
56,13-Jan-15. 18:00,한국,6,21,51,3,24,51,2306476,1
24,13-Jan-15. 18:00,쿠웨이트,1,18,49,3,24,139,5148,0
57,12-Jan-15. 19:00,이라크,2,21,56,1,25,89,9586,1
25,12-Jan-15. 19:00,요르단,3,20,44,1,25,87,3802,0
26,12-Jan-15. 18:00,일본,8,18,64,1,24,53,7021535,4
58,12-Jan-15. 18:00,팔레스타인,1,19,36,1,24,134,1825,0
59,11-Jan-15. 20:00,바레인,5,25,54,1,25,124,7089,0
27,11-Jan-15. 20:00,이란,4,10,46,1,25,45,936990,2
60,11-Jan-15. 18:00,카타르,5,13,46,1,22,86,137367,1
28,11-Jan-15. 18:00,아랍에미리트,8,11,54,1,22,65,138181,4
29,10-Jan-15. 19:00,사우디아라비아,1,15,56,3,28,80,12002,0
61,10-Jan-15. 19:00,중국,2,14,44,3,28,84,8151,1
30,10-Jan-15. 18:00,우즈베키스탄,5,17,60,3,21,74,979110,1
62,10-Jan-15. 18:00,북한,3,11,40,3,21,105,4343,0
63,10-Jan-15. 16:00,오만,1,8,33,3,19,104,165857,0
31,10-Jan-15. 16:00,한국,6,14,67,3,19,51,2306476,1
32,09-Jan-15. 20:00,오스트레일리아,8,19,60,3,16,100,1534325,4
64,09-Jan-15. 20:00,쿠웨이트,5,10,40,3,16,139,5148,1